"","edo","year","sexo","tipo_enfermedad","tasa"
"1","Aguascalientes",2000,"M","trans",72.5
"2","Baja California",2000,"M","trans",115.1
"3","Baja California Sur",2000,"M","trans",91.3
"4","Campeche",2000,"M","trans",64.1
"5","Coahuila",2000,"M","trans",69.3
"6","Colima",2000,"M","trans",72.1
"7","Chiapas",2000,"M","trans",119
"8","Chihuahua",2000,"M","trans",94.6
"9","Distrito Federal",2000,"M","trans",90.7
"10","Durango",2000,"M","trans",50.7
"11","Guanajuato",2000,"M","trans",96.5
"12","Guerrero",2000,"M","trans",69.8
"13","Hidalgo",2000,"M","trans",72
"14","Jalisco",2000,"M","trans",85.1
"15","México",2000,"M","trans",102
"16","Michoacán",2000,"M","trans",70.4
"17","Morelos",2000,"M","trans",86.5
"18","Nayarit",2000,"M","trans",75.4
"19","Nuevo León",2000,"M","trans",68.4
"20","Oaxaca",2000,"M","trans",117.9
"21","Puebla",2000,"M","trans",121.7
"22","Querétaro",2000,"M","trans",86.6
"23","Quintana Roo",2000,"M","trans",79.1
"24","San Luis Potosí",2000,"M","trans",69.8
"25","Sinaloa",2000,"M","trans",56.3
"26","Sonora",2000,"M","trans",87.7
"27","Tabasco",2000,"M","trans",81.5
"28","Tamaulipas",2000,"M","trans",60.9
"29","Tlaxcala",2000,"M","trans",103.4
"30","Veracruz",2000,"M","trans",89.1
"31","Yucatán",2000,"M","trans",85.9
"32","Zacatecas",2000,"M","trans",68.8
"33","Aguascalientes",2001,"M","trans",65.6
"34","Baja California",2001,"M","trans",99.1
"35","Baja California Sur",2001,"M","trans",85.2
"36","Campeche",2001,"M","trans",63.8
"37","Coahuila",2001,"M","trans",65.7
"38","Colima",2001,"M","trans",74.1
"39","Chiapas",2001,"M","trans",121.7
"40","Chihuahua",2001,"M","trans",93.2
"41","Distrito Federal",2001,"M","trans",86.3
"42","Durango",2001,"M","trans",56.7
"43","Guanajuato",2001,"M","trans",78.7
"44","Guerrero",2001,"M","trans",71.5
"45","Hidalgo",2001,"M","trans",65.2
"46","Jalisco",2001,"M","trans",79.9
"47","México",2001,"M","trans",95.4
"48","Michoacán",2001,"M","trans",64.9
"49","Morelos",2001,"M","trans",76.2
"50","Nayarit",2001,"M","trans",74.6
"51","Nuevo León",2001,"M","trans",64.8
"52","Oaxaca",2001,"M","trans",113.5
